Date ,OPEN ,HIGH ,LOW ,close ,VOLUME 
02/02/2023,1552,1586.95,1552,1583.75,6916834
03/02/2023,1597.5,1604.65,1573,1599.4,7040194
06/02/2023,1598,1598,1561.6,1569.85,4570612
07/02/2023,1569,1576.05,1555.1,1562.4,4336238
08/02/2023,1565.5,1603,1565.5,1590.5,7983338
09/02/2023,1596.2,1619.75,1586.05,1617,6904911
10/02/2023,1612.95,1616.3,1596.45,1608.55,4786762
13/02/2023,1597,1597,1566,1567.45,4001199
14/02/2023,1584.7,1596,1578.15,1593.25,5043736
15/02/2023,1584,1599,1576,1597.05,3465747
16/02/2023,1600,1614.45,1597.85,1601.8,4290289
17/02/2023,1594,1595,1575.5,1583.8,2857734
20/02/2023,1584.95,1603,1582.5,1592.45,2417716
21/02/2023,1598.7,1601.65,1576,1579.5,2723288
22/02/2023,1563,1575,1555.3,1561.8,3656244
23/02/2023,1569.85,1569.85,1548.15,1550.7,4766854
24/02/2023,1560,1569,1545,1550.65,2790986
27/02/2023,1540,1540,1502,1509.3,4920268
28/02/2023,1515.6,1524,1481.3,1487.55,9679811
01/03/2023,1492.4,1500.85,1481.5,1496.05,5125043
02/03/2023,1485,1488.6,1467.3,1472.15,4644499
03/03/2023,1486.75,1489.8,1473,1479.3,4615015
06/03/2023,1494.55,1520.4,1493.15,1507.45,6561742
08/03/2023,1490.55,1496,1481.1,1492.7,4137080
09/03/2023,1495,1498.35,1474.6,1480.4,5104656
10/03/2023,1460,1474.3,1457.65,1471.55,3699580
13/03/2023,1464.2,1478.3,1428,1435.1,8798403
14/03/2023,1441,1448.35,1411,1420,7402784
15/03/2023,1438,1442.85,1416.85,1419.65,7556182
16/03/2023,1417.8,1417.8,1398.7,1404.1,7323117
17/03/2023,1430,1442.9,1411.4,1420.7,9090018
20/03/2023,1419.7,1419.7,1384.85,1403.65,8221829
21/03/2023,1399,1405,1390,1390.7,8536755
22/03/2023,1403,1407.25,1382.15,1389.25,8356487
23/03/2023,1383.95,1383.95,1370,1374.55,7607718
24/03/2023,1388,1398.95,1377.5,1380.65,7559127
